commonname1, scientificname
"Ringtail surgeonfish","Acanthurus blochii"
"Rissos smooth-head","Alepocephalus rostratus"
"Rock sole","Lepidopsetta bilineata"
"Roudi escolar","Promethichthys prometheus"
"Rough scad","Trachurus lathami"
"Roughsnout grenadier","Trachyrincus scabrus"
"Roughtail stingray","Dasyatis centroura"
"Round herring","Etrumeus teres"
"Round sardinella","Sardinella aurita"
"Roundnose grenadier","Coryphaenoides rupestris"
"Roving coralgrouper","Plectropomus pessuliferus"
"Royal threadfin","Pentanemus quinquarius"
"Rubberlip grunt","Plectorhinchus mediterraneus"
"Ruby snapper","Etelis carbunculus"
"Rusty jobfish","Aphareus rutilans"
"Sablefish","Anoplopoma fimbria"
"Sabre squirrelfish","Sargocentron spiniferum"
"Saddle-back snapper","Paracaesio kusakarii"
"Saddled seabream","Oblada melanura"
"Saffron cod","Eleginus gracilis"
"Sailfin roughshark","Oxynotus paradoxus"
"Sailfin sandfish","Arctoscopus japonicus"
"Sailray","Dipturus linteus"
"Saithe","Pollachius virens"
"Salema","Sarpa salpa"
"Sand seabass","Diplectrum formosum"
"Sand smelt","Atherina presbyter"
"Sand sole","Pegusa lascaris"
"Sand tiger shark","Carcharias taurus"
"Sandbar shark","Carcharhinus plumbeus"
"Sandpaper fish","Paratrachichthys trailli"
"Sandy ray","Leucoraja circularis"
"Santer seabream","Cheimerius nufar"
"Sardine cisco","Coregonus sardinella"
"Scaldfish","Arnoglossus laterna"
"Scalloped hammerhead","Sphyrna lewini"
"Scamp","Mycteroperca phenax"
"Scrawled filefish","Aluterus scriptus"
"Scup","Stenotomus chrysops"
"Sea bass","Acanthistius brasilianus"
"Sea lamprey","Petromyzon marinus"
"Sea trout","Salmo trutta trutta"
"Senegalese hake","Merluccius senegalensis"
"Senegalese sole","Solea senegalensis"
"Serra Spanish mackerel","Scomberomorus brasiliensis"
"Shadowfin soldierfish","Myripristis adusta"
"Shagreen ray","Leucoraja fullonica"
"Shallow-water Cape hake","Merluccius capensis"
"Sharpnose stingray","Himantura gerrardi"
"Sharpsnout seabream","Diplodus puntazzo"
"Sheepshead seabream","Archosargus probatocephalus"
"Shi drum","Umbrina cirrosa"
"Short mackerel","Rastrelliger brachysoma"
"Shortbeard cusk-eel","Lepophidium brevibarbe"
"Shortbill spearfish","Tetrapturus angustirostris"
"Shortfin mako","Isurus oxyrinchus"
"Shortfin scad","Decapterus macrosoma"
"Shorthead anchovy","Encrasicholina heteroloba"
"Shortspine African angler","Lophius vaillanti"
"Shortspine thornyhead","Sebastolobus alascanus"
"Shoulderbar soldierfish","Myripristis kuntee"
"Shrimp scad","Alepes djedaba"
"Sickle pomfret","Taractichthys steindachneri"
"Sidespot goatfish","Parupeneus pleurostigma"
"Silk snapper","Lutjanus vivanus"
"Silky shark","Carcharhinus falciformis"
"Silver gemfish","Rexea solandri"
"Silver grunt","Pomadasys argenteus"
"Silver hake","Merluccius bilinearis"
"Silver pomfret","Pampus argenteus"
"Silver scabbardfish","Lepidopus caudatus"
"Silver sillago","Sillago sihama"
"Silver warehou","Seriolella punctata"
"Silverside","Odontesthes regia"
"Silverstriped round herring","Spratelloides gracilis"
"Silvery John dory","Zenopsis conchifer"
"Sixblotch hind","Cephalopholis sexmaculata"
"Sixfinger threadfin","Polydactylus sexfilis"
"Skinnycheek lanternfish","Benthosema pterotum"
"Skipjack tuna","Katsuwonus pelamis"
"Sky emperor","Lethrinus mahsena"
"Sleek unicornfish","Naso hexacanthus"
"Slender codling","Halargyreus johnsonii"
"Slender rainbow sardine","Dussumieria elopsoides"
"Slender silverbiddy","Gerres oblongus"
"Slingjaw wrasse","Epibulus insidiator"
"Small toothed jobfish","Aphareus furca"
"Smalleye moray cod","Muraenolepis microps"
"Small-eyed ray","Raja microocellata"
"Smallspotted catshark","Scyliorhinus canicula"
"Smallspotted dart","Trachinotus baillonii"
"Smalltooth emperor","Lethrinus microdon"
"Smooth hammerhead","Sphyrna zygaena"
"Smooth oreo","Pseudocyttus maculatus"
"Smooth-hound","Mustelus mustelus"
"Snoek","Thyrsites atun"
"Snowy grouper","Epinephelus niveatus"
"Snubnose emperor","Lethrinus borbonicus"
"Snubnose pompano","Trachinotus blochii"
"Sockeye salmon","Oncorhynchus nerka"
"Sohal surgeonfish","Acanthurus sohal"
"So-iny (redlip) mullet","Chelon haematocheilus"
"So-iuy mullet","Mugil soiuy"
"Sompat grunt","Pomadasys jubelini"
"South American pilchard","Sardinops sagax"
"South American silver porgy","Diplodus argenteus argenteus"
"South American striped weakfish","Cynoscion striatus"
"South Georgia icefish","Pseudochaenichthys georgianus"
"South Pacific hake","Merluccius gayi gayi"
"Southern blue whiting","Micromesistius australis"
"Southern bluefin tuna","Thunnus maccoyii"
"Southern hake","Merluccius australis"
"Southern lanternshark","Etmopterus granulosus"
"Southern meagre","Argyrosomus hololepidotus"
"Southern red snapper","Lutjanus purpureus"
"Spangled emperor","Lethrinus nebulosus"
"Spanish mackerel","Scomberomorus maculatus"
"Spearnose chimaera","Rhinochimaera atlantica"
"Spiky oreo","Neocyttus rhomboidalis"
"Spiny butterfly ray","Gymnura altavela"
"Spiny horsefish","Zanclorhynchus spinifer"
"Spiny icefish","Chaenodraco wilsoni"
"Splendid alfonsino","Beryx splendens"
"Spot croaker","Leiostomus xanthurus"
"Spotcheek emperor","Lethrinus rubrioperculatus"
"Spotfin flathead","Grammoplites suppositus"
"Spot-fin porcupinefish","Diodon hystrix"
"Spottail shark","Carcharhinus sorrah"
"Spottail spiny turbot","Psettodes belcheri"
"Spotted codlet","Bregmaceros mcclellandi"
"Spotted eagle ray","Aetobatus narinari"
"Spotted estuary smooth-hound","Mustelus lenticulatus"
"Spotted grouper","Epinephelus analogus"
"Spotted ratfish","Hydrolagus colliei"
"Spotted ray","Raja montagui"
"Spotted rose snapper","Lutjanus guttatus"
"Spotted seabass","Dicentrarchus punctatus"
"Spotted weakfish","Cynoscion nebulosus"
"Spotted wolffish","Anarhichas minor"
"Squaretail coralgrouper","Plectropomus areolatus"
"Squirefish","Pagrus auratus"
"Starry flounder","Platichthys stellatus"
"Starry ray","Raja asterias"
"Starry smooth-hound","Mustelus asterias"
"Starspotted grouper","Epinephelus hexagonatus"
"Steephead parrotfish","Chlorurus microrhinos"
"Stocky hawkfish","Cirrhitus pinnulatus"
"Streaked gurnard","Trigloporus lastoviza"
"Streaked seerfish","Scomberomorus lineolatus"
"Streamlined spinefoot","Siganus argenteus"
"Striated surgeonfish","Ctenochaetus striatus"
"Striped bonito","Sarda orientalis"
"Striped eel catfish","Plotosus lineatus"
"Striped large-eye bream","Gnathodentex aureolineatus"
"Striped marlin","Tetrapturus audax"
"Striped piggy","Pomadasys stridens"
"Striped red mullet","Mullus surmuletus"
"Striped rockcod","Trematomus hansoni"
"Striped sea-bass","Morone saxatilis"
"Striped seabream","Lithognathus mormyrus"
"Summan grouper","Epinephelus summana"
"Summer flounder","Paralichthys dentatus"
"Surf smelt","Hypomesus pretiosus"
"Surge grouper","Epinephelus socialis"
"Swallowtail seaperch","Anthias anthias"
"Swordfish","Xiphias gladius"
"Tadpole codling","Salilota australis"
"Talang queenfish","Scomberoides commersonnianus"
"Tan-faced parrotfish","Chlorurus frontalis"
"Tarakihi","Nemadactylus macropterus"
"Tarpon","Megalops atlanticus"
"Tautog","Tautoga onitis"
"Thickback sole","Microchirus variegatus"
"Thicklip grey mullet","Chelon labrosus"
"Thintail thresher","Alopias vulpinus"
"Thornback ray","Raja clavata"
"Thorntooth grenadier","Lepidorhynchus denticulatus"
"Thread-sail filefish","Stephanolepis cirrhifer"
"Thumbprint emperor","Lethrinus harak"
"Tiger grouper","Mycteroperca tigris"
"Tiger shark","Galeocerdo cuvier"
"Tiger-toothed croaker","Otolithes ruber"
"Tilefish","Prolatilus jugularis"
"Toad notothen","Lepidonotothen mizops"
"Toli shad","Tenualosa toli"
"Tomato hind","Cephalopholis sonnerati"
"Toothpony","Gazza minuta"
"Tope shark","Galeorhinus galeus"
"Torpedo scad","Megalaspis cordyla"
"Totoaba","Totoaba macdonaldi"
"Triangular notothen","Gobionotothen acuta"
"Tripletail wrasse","Cheilinus trilobatus"
"Trout sweetlips","Plectorhinchus pictus"
"Tub gurnard","Chelidonichthys lucerna"
"Turbot","Psetta maxima"
"Tusk","Brosme brosme"
"Twaite shad","Alosa fallax"
"Twobar seabream","Acanthopagrus bifasciatus"
"Two-lined monocle bream","Scolopsis bilineata"
"Two-spot red snapper","Lutjanus bohar"
"Undulate ray","Raja undulata"
"Unicorn icefish","Channichthys rhinoceratus"
"Velvet belly lantern shark","Etmopterus spinax"
"Velvet leatherjacket","Meuschenia scaber"
"Vendace","Coregonus albula"
"Vermilion snapper","Rhomboplites aurorubens"
"Viviparous blenny","Zoarces viviparus"
"Wahoo","Acanthocybium solandri"
"Warsaw grouper","Epinephelus nigritus"
"Wedge sole","Dicologlossa cuneata"
"West African goatfish","Pseudupeneus prayensis"
"West African ilisha","Ilisha africana"
"West African ladyfish","Elops lacerta"
"West African Spanish mackerel","Scomberomorus tritor"
"West American sand sole","Psettichthys melanostictus"
"West coast sole","Austroglossus microlepis"
"White baggar","Galeichthys feliceps"
"White croaker","Genyonemus lineatus"
"White croaker","Pennahia argentata"
"White grouper","Epinephelus aeneus"
"White hake","Urophycis tenuis"
"White morwong","Nemadactylus bergi"
"White perch","Morone americana"
"White seabream","Diplodus sargus sargus"
"White snake mackerel","Thyrsitops lepidopoides"
"White steenbras","Lithognathus lithognathus"
"White stumpnose","Rhabdosargus globiceps"
"White trevally","Pseudocaranx dentex"
"White warehou","Seriolella caerulea"
"White weakfish","Atractoscion nobilis"
"White-blotched grouper","Epinephelus multinotatus"
"White-edged lyretail","Variola albimarginata"
"Whitefin wolf-herring","Chirocentrus nudus"
"Whiteheads round herring","Etrumeus whiteheadi"
"Whitemargin unicornfish","Naso annulatus"
"Whitemouth croaker","Micropogonias furnieri"
"Whitesaddle goatfish","Parupeneus ciliatus"
"Whitespot hawkfish","Paracirrhites hemistictus"
"Whitespot soldierfish","Myripristis woodsi"
"Whitespotted conger","Conger myriaster"
"White-spotted shovelnose ray","Rhynchobatus australiae"
"Whitespotted surgeonfish","Acanthurus guttatus"
"Whitetongue jack","Uraspis uraspis"
"Whiting","Merlangius merlangus"
"Widow rockfish","Sebastes entomelas"
"Windowpane","Scophthalmus aquosus"
"Winter flounder","Pseudopleuronectes americanus"
"Witch","Glyptocephalus cynoglossus"
"Wolf-fish","Anarhichas lupus"
"Wreckfish","Polyprion americanus"
"Yellow and blueback fusilier","Caesio teres"
"Yellow croaker","Larimichthys polyactis"
"Yellow snapper","Lutjanus argentiventris"
"Yellowband parrotfish","Scarus schlegeli"
"Yellowbar angelfish","Pomacanthus maculosus"
"Yellowbelly rockcod","Notothenia coriiceps"
"Yellowedge grouper","Epinephelus flavolimbatus"
"Yellow-edged lyretail","Variola louti"
"Yellowfin goatfish","Mulloidichthys vanicolensis"
"Yellowfin grouper","Mycteroperca venenosa"
"Yellowfin hind","Cephalopholis hemistiktos"
"Yellowfin seabream","Acanthopagrus latus"
"Yellowfin sole","Limanda aspera"
"Yellowfin surgeonfish","Acanthurus xanthopterus"
"Yellowfin tuna","Thunnus albacares"
"Yellowlip emperor","Lethrinus xanthochilus"
"Yellowspotted grouper","Epinephelus timorensis"
"Yellowspotted trevally","Carangoides fulvoguttatus"
"Yellowstripe goatfish","Mulloidichthys flavolineatus"
"Yellowstripe scad","Selaroides leptolepis"
"Yellowtail amberjack","Seriola lalandi"
"Yellowtail flounder","Limanda ferruginea"
"Yellowtail rockfish","Sebastes flavidus"
"Yellowtail scad","Atule mate"
"Yellowtail snapper","Ocyurus chrysurus"
"Zebra seabream","Diplodus cervinus cervinus"
"Aesop shrimp","Pandalus montagui"
"Akiami paste shrimp","Acetes japonicus"
"American lobster","Homarus americanus"
"Andaman lobster","Metanephrops andamanicus"
"Antarctic krill","Euphausia superba"
"Antarctic stone crab","Paralomis spinosissima"
"Argentine red shrimp","Pleoticus muelleri"
"Argentine stiletto shrimp","Artemesia longinaris"
"Atlantic rock crab","Cancer irroratus"
"Atlantic seabob","Xiphopenaeus kroyeri"
"Atlantic seabob","Xiphopenaeus kroyeri"
"Australian spiny lobster","Panulirus cygnus"
"Banana prawn","Fenneropenaeus merguiensis"
"Barnacle","Pollicipes pollicipes"
"Black stone crab","Menippe mercenaria"
"Blue and red shrimp","Aristeus antennatus"
"Blue crab","Callinectes sapidus"
"Blue King Crab","Paralithodes platypus"
"Blue Land Crab","Cardisoma guanhumi"
"Blue mud shrimp","Upogebia pugettensis"
"Blue shrimp","Litopenaeus stylirostris"
"Blue spiny lobster","Panulirus gracilis"
"Blue swimming crab","Portunus pelagicus"
"Blue-leg swimcrab","Liocarcinus depurator"
"Cape rock lobster","Jasus lalandii"
"Caramote prawn","Melicertus kerathurus"
"Caribbean spiny lobster","Panulirus argus"
"Chilean nylon shrimp","Heterocarpus reedi"
"Chilean nylon shrimp","Haliporoides diomedeae"
"Common prawn","Palaemon serratus"
"Common shrimp","Crangon crangon"
"Common spiny lobster","Palinurus elephas"
"Crystal shrimp","Farfantepenaeus brevirostris"
"Dana's swimming crab","Callinectes danae"
"Deep-sea red crab","Chaceon affinis"
"Deepwater rose shrimp","Parapenaeus longirostris"
"Delta prawn","Palaemon longirostris"
"Dungeness crab","Cancer magister"
"Edible crab","Cancer pagurus"
"Endeavour shrimp","Metapenaeus endeavouri"
"European lobster","Homarus gammarus"
"Flathead lobster","Thenus orientalis"
"Fleshy prawn","Fenneropenaeus chinensis"
"Gazami crab","Portunus trituberculatus"
"Giant barnacle","Megabalanus psittacus"
"Giant tiger prawn","Penaeus monodon"
"Grass shrimp","Pandalus kessleri"
"Green crab","Carcinus maenas"
"Green rock lobster","Jasus verreauxi"
"Green tiger prawn","Penaeus semisulcatus"
"Guinea shrimp","Parapenaeopsis atlantica"
"Hair Crab","Erimacrus isenbeckii"
"Humpback shrimp","Pandalus hypsinotus"
"Humpy shrimp","Pandalus goniurus"
"Indian white prawn","Fenneropenaeus indicus"
"Indo-Pacific swamp crab","Scylla serrata"
"Jack-knife shrimp","Haliporoides sibogae"
"Jonah crab","Cancer borealis"
"Juan Fernandez rock lobster","Jasus frontalis"
"Knife shrimp","Haliporoides triarthrus"
"Kolibri shrimp","Solenocera agassizii"
"Kuruma prawn","Marsupenaeus japonicus"
"Longlegged spiny lobster","Panulirus longipes"
"Mediterranean shore crab","Carcinus aestuarii"
"Mediterranean slipper lobster","Scyllarides latus"
"Mozambique lobster","Metanephrops mozambicus"
"Natal spiny lobster","Palinurus delagoae"
"New Zealand lobster","Metanephrops challengeri"
"Northern brown shrimp","Farfantepenaeus aztecus"
"Northern nylon shrimp","Heterocarpus vicarius"
"Northern pink shrimp","Farfantepenaeus duorarum"
"Northern prawn","Pandalus borealis"
"Northern white shrimp","Litopenaeus setiferus"
"Norway lobster","Nephrops norvegicus"
"Norwegian krill","Meganyctiphanes norvegica"
"Ocean shrimp","Pandalus jordani"
"Pacific rock crab","Cancer productus"
"Pelagic red crab","Pleuroncodes planipes"
"Pink spiny lobster","Palinurus mauritanicus"
"Queen crab","Chionoecetes opilio"
"Red deepsea crab","Geryon quinquedens"
"Red king crab","Paralithodes camtschaticus"
"Red rock lobster","Jasus edwardsii"
"Red stone crab","Paralomis aculeata"
"Redspotted shrimp","Farfantepenaeus brasiliensis"
"Redtail prawn","Penaeus penicillatus"
"Ridgeback shrimp","Sicyonia ingentis"
"Rock shrimp","Sicyonia brevirostris"
"Royal red shrimp","Pleoticus robustus"
"Same-spine stone crab","Lithodes aequispinus"
"Sand Crayfish","Ibacus ciliatus"
"Sao Paulo shrimp","Farfantepenaeus paulensis"
"Scalloped spiny lobster","Panulirus homarus"
"Scarlet shrimp","Plesiopenaeus edwardsianus"
"Shiba shrimp","Metapenaeus joyneri"
"Sidestripe shrimp","Pandalopsis japonica"
"Softshell red crab","Paralomis granulosa"
"Southern king crab","Lithodes antarcticus"
"Southern pink shrimp","Farfantepenaeus notialis"
"Southern rock lobster","Jasus novaehollandiae"
"Southern rough shrimp","Trachysalambria curvirostris"
"Southern spiny lobster","Palinurus gilchristi"
"Speckled shrimp","Metapenaeus monoceros"
"Spinous spider crab","Maja squinado"
"Spiny king crab","Paralithodes brevipes"
"Spottail mantis squillid","Squilla mantis"
"Squat Lobster","Pleuroncodes monodon"
"Stone king crab","Lithodes maia"
"Striped red shrimp","Aristeus varidens"
"Velvet swimcrab","Necora puber"
"Western king prawn","Melicertus latisulcatus"
"Western white shrimp","Litopenaeus occidentalis"
"Whitebelly prawn","Nematopalaemon schmitti"
"Whiteleg shrimp","Litopenaeus vannamei"
"Yellowleg shrimp","Farfantepenaeus californiensis"
"American cupped oyster","Crassostrea virginica"
"American sea scallop","Placopecten magellanicus"
"Angulate volute","Zidona dufresnei"
"Argentine shortfin squid","Illex argentinus"
"Atlantic bay scallop","Argopecten irradians"
"Atlantic razor clam","Ensis directus"
"Atlantic surf clam","Spisula solidissima"
"Australian mussel","Mytilus planulatus"
"Banded carpet shell","Tapes rhomboides"
"Bean solen","Pharus legumen"
"Blacklip abalone","Haliotis rubra"
"Blood cockle","Anadara granosa"
"Blue mussel","Mytilus edulis"
"Broadtail shortfin squid","Illex coindetii"
"Brown mussel","Perna viridis"
"Butter clam","Saxidomus gigantea"
"Calico scallop","Argopecten gibbus"
"California market squid","Loligo opalescens"
"Cape Hope squid","Loligo vulgaris"
"Carrot Squat Lobster","Cervimunida johni"
"Chilean flat oyster","Ostrea chilensis"
"Chilean mussel","Mytilus chilensis"
"Chilean semele","Semele solida"
"Cholga mussel","Aulacomya ater"
"Choro mussel","Choromytilus chorus"
"Common cuttlefish","Sepia officinalis"
"Common edible cockle","Cardium edule"
"Common octopus","Octopus vulgaris"
"Common periwinkle","Littorina littorea"
"Delicate scallop","Chlamys delicatula"
"Dog cockle","Glycymeris glycymeris"
"European flat oyster","Ostrea edulis"
"European flying squid","Todarodes sagittatus"
"European razor clam","Solen vagina"
"False abalone","Concholepas concholepas"
"Gay's little venus","Tawera gayi"
"Giant abalone","Haliotis gigantea"
"Great Atlantic scallop","Pecten maximus"
"Great Mediterranean scallop","Pecten jacobaeus"
"Grooved carpet shell","Ruditapes decussatus"
"Half-crenated ark","Scapharca cornea"
"Helmet ton","Tonna galea"
"Hen clam","Mactra sachalinensis"
"Horned octopus","Eledone cirrhosa"
"Horned turban","Turbo cornutus"
"Iceland scallop","Chlamys islandica"
"Japanese carpet shell","Ruditapes philippinarum"
"Japanese flying squid","Todarodes pacificus"
"Japanese hard clam","Meretrix lusoria"
"Jumbo flying squid","Dosidicus gigas"
"Korean mussel","Mytilus coruscus"
"Longfin squid","Loligo pealeii"
"Macha clam","Mesodesma donacium"
"Mangrove cupped oyster","Crassostrea rhizophorae"
"Mediterranean mussel","Mytilus galloprovincialis"
"Neon flying squid","Ommastrephes bartramii"
"New Zealand dredge oyster","Ostrea lutaria"
"New Zealand scallop","Pecten novaezelandiae"
"Northern quahog","Mercenaria mercenaria"
"Northern shortfin squid","Illex illecebrosus"
"Nuttall cockle","Clinocardium nuttallii"
"Ocean quahog","Arctica islandica"
"Olympia flat oyster","Ostrea lurida"
"Pacific calico scallop","Argopecten circularis"
"Pacific cupped oyster","Crassostrea gigas"
"Pacific geoduck","Panopea abrupta"
"Pacific littleneck clam","Protothaca staminea"
"Pacific razor clam","Siliqua patula"
"Patagonean scallop","Zygochlamys patagonica"
"Patagonian squid","Loligo gahi"
"Perlemoen abalone","Haliotis midae"
"Peruvian calico scallop","Argopecten purpuratus"
"Pipi wedge clam","Paphies australis"
"Pod razor","Ensis ensis"
"Pullet carpet shell","Tapes pullastra"
"Queen scallop","Aequipecten opercularis"
"River Plata mussel","Mytilus platensis"
"Rostrate pitar","Pitar rostratus"
"Sand gaper","Mya arenaria"
"Sevenstar flying squid","Martialia hyadesi"
"Slipper cupped oyster","Crassostrea iredalei"
"Smooth callista","Callista chione"
"South American rock mussel","Perna perna"
"Stimpsons surf clam","Mactromeris polynyma"
"Striped venus","Venus (=Chamelea) gallina"
"Stutchbury's venus","Chione stutchburyi"
"Surf clam","Spisula solida"
"Taca clam","Protothaca thaca"
"Trigonal tivela","Tivela mactroides"
"Tuberculate abalone","Haliotis tuberculata"
"Variegated scallop","Chlamys varia"
"Veined Squid","Loligo forbesii"
"Venus clam","Spisula ovalis"
"Warty venus","Venus verrucosa"
"Weathervane scallop","Patinopecten caurinus"
"Wellington flying squid","Nototodarus sloanii"
"Whelk","Buccinum undatum"
"Yesso scallop","Pecten yessoensis"
