 total number of assessments in srDB 
-------------------------------------
                                 231
(1 row)

 total number of assessments in srDB excluding RAM original data 
-----------------------------------------------------------------
                                                             179
(1 row)

  recorder   | total number of assessments in srDB 
-------------+-------------------------------------
 MYERS       |                                  52
 MINTO       |                                  37
 JENNINGS    |                                  27
 JENSEN      |                                  21
 PREFONTAINE |                                  21
 BRANCH      |                                  17
 FULTON      |                                  15
 COLLIE      |                                  12
 BAUM        |                                   7
 Parma       |                                   6
 PRÉFONTAINE |                                   3
 de Moor     |                                   2
 FRANCIS     |                                   2
 Johnston    |                                   2
 WORM        |                                   2
 GILROY      |                                   1
 HUTCHINGS   |                                   1
 LEGAULT     |                                   1
 TERCEIRO    |                                   1
 WIGLEY      |                                   1
(20 rows)

  recorder   | total number of assessments with time-series data in srDB 
-------------+-----------------------------------------------------------
 MYERS       |                                                        52
 MINTO       |                                                        37
 JENNINGS    |                                                        27
 PREFONTAINE |                                                        21
 JENSEN      |                                                        21
 BRANCH      |                                                        17
 FULTON      |                                                        15
 COLLIE      |                                                        12
 BAUM        |                                                         7
 Parma       |                                                         6
 WORM        |                                                         2
 FRANCIS     |                                                         2
 de Moor     |                                                         2
 Johnston    |                                                         2
 PRÉFONTAINE |                                                         2
 HUTCHINGS   |                                                         1
 LEGAULT     |                                                         1
 WIGLEY      |                                                         1
 TERCEIRO    |                                                         1
 GILROY      |                                                         1
(20 rows)

  recorder   | total number of assessments with biometrics data in srDB 
-------------+----------------------------------------------------------
 MINTO       |                                                       37
 JENNINGS    |                                                       27
 PREFONTAINE |                                                       21
 JENSEN      |                                                       20
 BRANCH      |                                                       17
 FULTON      |                                                       15
 COLLIE      |                                                        7
 BAUM        |                                                        7
 Parma       |                                                        6
 FRANCIS     |                                                        2
 WORM        |                                                        2
 de Moor     |                                                        2
 Johnston    |                                                        2
 PRÉFONTAINE |                                                        2
 HUTCHINGS   |                                                        1
 LEGAULT     |                                                        1
 WIGLEY      |                                                        1
 TERCEIRO    |                                                        1
 GILROY      |                                                        1
(19 rows)

  recorder   |                         stocklong                         |        scientificname         |      stockid      
 FULTON      | CSIRO-GEMFISHSESSF-1966-2007-FULTON          |                   22
 FULTON      | CSIRO-GTPRAWNNAUST-1970-2006-FULTON          |                    2
 FULTON      | CSIRO-MORWONGSESSF-1913-2007-FULTON          |                   24
 FULTON      | CSIRO-OROUGHYCASCADE-1987-2006-FULTON        |                   14
 FULTON      | CSIRO-OROUGHYSESSF-1978-2007-FULTON          |                   15
 FULTON      | CSIRO-PINKLINGGABSESSF-1968-2007-FULTON      |                   23
 FULTON      | CSIRO-PINKLINGSESSF-1968-2007-FULTON         |                   23
 FULTON      | CSIRO-SILVERFISHSESSF-1978-2006-FULTON       |                   24
 FULTON      | CSIRO-SWHITSESSF-1945-2007-FULTON            |                   25
 FULTON      | CSIRO-TIGERFLATSESSF-1913-2006-FULTON        |                   25
 FULTON      | CSIRO-WAREHOUGABSESSF-1984-2006-FULTON       |                   20
 FULTON      | CSIRO-WAREHOUSESSF-1984-2006-FULTON          |                   20
 GILROY      | SEFSC-MENATGM-1964-2004-GILROY               |                    2
 HUTCHINGS   | DFO-SG-COD4T-1950-2007-HUTCHINGS             |                   12
 JENNINGS    | AFWG-GHALNEAR-1959-2007-JENNINGS             |                    8
 JENNINGS    | HAWG-HERRNIRS-1960-2006-JENNINGS             |                   10
 JENNINGS    | WGBFAS-CODBA2224-1969-2007-JENNINGS          |                    9
 JENNINGS    | WGBFAS-CODBA2532-1964-2007-JENNINGS          |                   12
 JENNINGS    | WGBFAS-HERR2532-1973-2006-JENNINGS           |                   10
 JENNINGS    | WGBFAS-HERR30-1972-2007-JENNINGS             |                   12
 JENNINGS    | WGBFAS-HERR31-1979-2006-JENNINGS             |                    5
 JENNINGS    | WGBFAS-HERRIsum-1983-2007-JENNINGS           |                    4
 JENNINGS    | WGBFAS-HERRRIGA-1976-2007-JENNINGS           |                   11
 JENNINGS    | WGBFAS-SOLEIIIa-1982-2007-JENNINGS           |                   12
 JENNINGS    | WGBFAS-SPRAT22-32-1973-2007-JENNINGS         |                   11
 JENNINGS    | WGHMM-FMEG8c9a-1986-2006-JENNINGS            |                    4
 JENNINGS    | WGHMM-HAKENRTN-1978-2007-JENNINGS            |                   12
 JENNINGS    | WGHMM-HAKESOTH-1982-2007-JENNINGS            |                   12
 JENNINGS    | WGHMM-MEG8c9a-1985-2007-JENNINGS             |                    3
 JENNINGS    | WGHMM-SOLEVIII-1982-2006-JENNINGS            |                   11
 JENNINGS    | WGMHSA-ANCHOBAYB-1986-2007-JENNINGS          |                   11
 JENNINGS    | WGMHSA-MACKNEICES-1972-2007-JENNINGS         |                   11
 JENNINGS    | WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS     |                    8
 JENNINGS    | WGNPBW-BWHITNEA-1979-2007-JENNINGS           |                   12
 JENNINGS    | WGNSSK-HADROCK-1990-2007-JENNINGS            |                   11
 JENNINGS    | WGSSDS-HADVIIb-k-1993-2006-JENNINGS          |                    4
 JENNINGS    | WGSSDS-PLAICCELT-1976-2006-JENNINGS          |                    5
 JENNINGS    | WGSSDS-PLAICECHW-1975-2006-JENNINGS          |                   11
 JENNINGS    | WGSSDS-SOLECS-1970-2006-JENNINGS             |                   11
 JENNINGS    | WGSSDS-SOLEVIIe-1968-2006-JENNINGS           |                   12
 JENNINGS    | WGSSDS-WHITVIIek-1982-2007-JENNINGS          |                   10
 JENSEN      | IATTC-BIGEYEEPAC-1975-2007-JENSEN            |                    4
 JENSEN      | IATTC-YFINEPAC-1975-2007-JENSEN              |                    4
 JENSEN      | ICCAT-SWORDMED-1968-2006-JENSEN              |                   13
 JENSEN      | SEFSC-GAGGM-1963-2004-JENSEN                 |                    7
 JENSEN      | SEFSC-GAGSATLC-1962-2005-JENSEN              |                    4
 JENSEN      | SEFSC-GRAMBERGM-1986-2004-JENSEN             |                    7
 JENSEN      | SEFSC-GRAMBERSATLC-1946-2006-JENSEN          |                    6
 JENSEN      | SEFSC-GTRIGGM-1981-2004-JENSEN               |                    9
 JENSEN      | SEFSC-KMACKGM-1992-2001-JENSEN               |                    2
 JENSEN      | SEFSC-KMACKSATLC-1981-2001-JENSEN            |                    3
 JENSEN      | SEFSC-MUTSNAPSATLCGM-1981-2006-JENSEN        |                    9
 JENSEN      | SEFSC-RPORGYSATLC-1972-2005-JENSEN           |                   14
 JENSEN      | SEFSC-RSNAPGM-1986-2005-JENSEN               |                    6
 JENSEN      | SEFSC-RSNAPSATLC-1945-2006-JENSEN            |                    5
 JENSEN      | SEFSC-SPANMACKSATLC-1950-2008-JENSEN         |                    2
 JENSEN      | SEFSC-VSNAPGM-1981-2004-JENSEN               |                    8
 JENSEN      | SPC-ALBASPAC-1959-2007-JENSEN                |                   13
 JENSEN      | SPC-BIGEYEWPO-1952-2007-JENSEN               |                   13
 JENSEN      | SPC-SKJCWPAC-1972-2007-JENSEN                |                   12
 JENSEN      | SPC-YFINCWPAC-1952-2006-JENSEN               |                   11
 Johnston    | MARAM-CTRACSA-1950-2007-Johnston             |                   20
 Johnston    | MARAM-SSLOBSTERSASC-1973-2008-Johnston       |                   19
 LEGAULT     | NEFSC-YELLCCODGOM-1935-2008-LEGAULT          |                    8
 MINTO       | AFWG-CAPENOR-1964-2006-MINTO                 |                    4
 MINTO       | AFWG-CODCOASTNOR-1982-2006-MINTO             |                    7
 MINTO       | AFWG-CODNEAR-1943-2006-MINTO                 |                   16
 MINTO       | AFWG-GOLDREDNEAR-1986-2006-MINTO             |                    5
 MINTO       | AFWG-HADNEAR-1947-2006-MINTO                 |                   13
 MINTO       | AFWG-POLLNEAR-1957-2006-MINTO                |                   13
 MINTO       | AFWG-REDDEEPI_II-1987-2007-MINTO             |                    2
 MINTO       | HAWG-HERR2224IIIa-1991-2006-MINTO            |                   10
 MINTO       | HAWG-HERRNS-1960-2007-MINTO                  |                   12
 MINTO       | HAWG-HERRVIa-1957-2006-MINTO                 |                   10
 MINTO       | HAWG-HERRVIaVIIbc-1969-2000-MINTO            |                   11
 MINTO       | HAWG-SPRATNS-1995-2007-MINTO                 |                    5
 MINTO       | NWWG-CAPEICE-1977-2007-MINTO                 |                    7
 MINTO       | NWWG-CODFAPL-1959-2006-MINTO                 |                   12
 MINTO       | NWWG-CODICE-1952-2006-MINTO                  |                   11
 MINTO       | NWWG-HADFAPL-1955-2007-MINTO                 |                   12
 MINTO       | NWWG-HADICE-1977-2007-MINTO                  |                   11
 MINTO       | NWWG-POLLFAPL-1958-2006-MINTO                |                   12
 MINTO       | WGBFAS-CODKAT-1970-2006-MINTO                |                   12
 MINTO       | WGNSDS-CODIS-1968-2006-MINTO                 |                   14
 MINTO       | WGNSDS-CODVIa-1977-2006-MINTO                |                   13
 MINTO       | WGNSDS-HADIS-1991-2006-MINTO                 |                    9
 MINTO       | WGNSDS-HADVIa-1977-2006-MINTO                |                   13
 MINTO       | WGNSDS-PLAICIS-1962-2006-MINTO               |                   12
 MINTO       | WGNSDS-SOLEIS-1968-2006-MINTO                |                   14
 MINTO       | WGNSDS-WHITVIa-1984-2007-MINTO               |                   12
 MINTO       | WGNSSK-CODNS-1962-2006-MINTO                 |                    9
 MINTO       | WGNSSK-HADNS-IIIa-1963-2006-MINTO            |                   12
 MINTO       | WGNSSK-NPOUTNS-1983-2007-MINTO               |                   10
 MINTO       | WGNSSK-PLAIC7d-1979-2006-MINTO               |                   12
 MINTO       | WGNSSK-PLAICIIIa-1976-2005-MINTO             |                    9
 MINTO       | WGNSSK-PLAICNS-1956-2006-MINTO               |                   12
 MINTO       | WGNSSK-POLLNS-VI-IIIa-1964-2006-MINTO        |                   13
 MINTO       | WGNSSK-SEELNS-1983-2007-MINTO                |                    9
 MINTO       | WGNSSK-SOLENS-1956-2006-MINTO                |                   12
 MINTO       | WGNSSK-SOLEVIId-1981-2006-MINTO              |                   13
 MINTO       | WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO      |                   14
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          |                   43
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          |                   46
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           |                   40
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           |                   43
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      |                   45
 Parma       | INIDEP-SBWHITARGS-1985-2007-Parma            |                   36
 PREFONTAINE | DFO-COD5Zjm-1978-2003-PREFONTAINE            |                    8
 PREFONTAINE | DFO-HAD4X5Y-1960-2003-PREFONTAINE            |                    9
 PREFONTAINE | DFO-HAD5Zejm-1969-2003-PREFONTAINE           |                    9
 PREFONTAINE | DFO-HERR4VWX-1965-2006-PREFONTAINE           |                   15
 PREFONTAINE | DFO-MAR-COD4VsW-1958-2002-PREFONTAINE        |                   11
 PREFONTAINE | DFO-NFLD-AMPL23K-1960-2004-PREFONTAINE       |                   10
 PREFONTAINE | DFO-NFLD-AMPL3Ps-1960-2005-PREFONTAINE       |                    8
 PREFONTAINE | DFO-NFLD-COD2J3KLIS-1959-2006-PREFONTAINE    |                   15
 PREFONTAINE | DFO-NFLD-COD3Ps-1959-2004-PREFONTAINE        |                   10
 PREFONTAINE | DFO-NFLD-MONK2J3KLNOPs-1985-2000-PREFONTAINE |                    1
 PREFONTAINE | DFO-POLL4VWX5Zc-1974-2007-PREFONTAINE        |                    8
 PREFONTAINE | DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE      |                   12
 PREFONTAINE | DFO-QUE-GHAL4RST-1970-2002-PREFONTAINE       |                    5
 PREFONTAINE | DFO-QUE-HERR4RFA-1973-2003-PREFONTAINE       |                   15
 PREFONTAINE | DFO-QUE-HERR4RSP-1965-2004-PREFONTAINE       |                   15
 PREFONTAINE | DFO-SG-COD4TVn-1965-2007-PREFONTAINE         |                    8
 PREFONTAINE | NAFO-SC-AMPL3LNO-1960-2007-PREFONTAINE       |                   22
 PREFONTAINE | NAFO-SC-AMPL3M-1960-2005-PREFONTAINE         |                    9
 PREFONTAINE | NAFO-SC-COD3NO-1953-2007-PREFONTAINE         |                   14
 PREFONTAINE | NAFO-SC-GHAL01ABCDEF-1987-2006-PREFONTAINE   |                    3
 PREFONTAINE | NAFO-SC-GHAL23KLMNO-1960-2006-PREFONTAINE    |                    3
 PRÉFONTAINE | DFO-SG-HERR4TFA-1978-2007-PRÉFONTAINE        |                    9
 PRÉFONTAINE | DFO-SG-HERR4TSP-1978-2007-PRÉFONTAINE        |                   10
 TERCEIRO    | NEFSC-WINFLOUNSNEMATL-1940-2007-TERCEIRO     |                   14
 WIGLEY      | NEFSC-OPOUTNWATLC-1962-2008-WIGLEY           |                    2
 WORM        | ICCAT-ALBANATL-1930-2006-WORM                |                   17
 WORM        | ICCAT-ATBTUNAWATL-1970-2008-WORM             |                   20
(172 rows)

  recorder   |                   assessid                   | number of time-series 
-------------+----------------------------------------------+-----------------------
 BAUM        | AFSC-PCODGA-1977-2007-BAUM                   |                     3
 BAUM        | NEFSC-COD5Z-1960-2007-BAUM                   |                     6
 BAUM        | NEFSC-CODGOM-1893-2008-BAUM                  |                     5
 BAUM        | NEFSC-HADGB-1930-2008-BAUM                   |                     5
 BAUM        | NEFSC-SFLOUNMATLC-1940-2007-BAUM             |                     6
 BAUM        | NEFSC-YELLGB-1935-2008-BAUM                  |                     6
 BAUM        | NEFSC-YELLSNEMATL-1935-2008-BAUM             |                     5
 BRANCH      | NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH        |                     5
 BRANCH      | NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH      |                     5
 BRANCH      | NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH      |                     5
 BRANCH      | NWFSC-BLUEROCKCAL-1916-2007-BRANCH           |                     5
 BRANCH      | NWFSC-BOCACCSPCOAST-1951-2006-BRANCH         |                     5
 BRANCH      | NWFSC-CHILISPCOAST-1892-2007-BRANCH          |                     5
 BRANCH      | NWFSC-COWCODSCAL-1900-2007-BRANCH            |                     6
 BRANCH      | NWFSC-CROCKPCOAST-1916-2007-BRANCH           |                     5
 BRANCH      | NWFSC-DKROCKPCOAST-1928-2007-BRANCH          |                     5
 BRANCH      | NWFSC-ESOLEPCOAST-1876-2007-BRANCH           |                     6
 BRANCH      | NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH        |                     5
 BRANCH      | NWFSC-PHAKEPCOAST-1966-2008-BRANCH           |                     5
 BRANCH      | NWFSC-POPERCHPCOAST-1953-2007-BRANCH         |                     5
 BRANCH      | NWFSC-SABLEFPCOAST-1900-2007-BRANCH          |                     5
 BRANCH      | NWFSC-WROCKPCOAST-1955-2006-BRANCH           |                     6
 BRANCH      | NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH        |                     5
 BRANCH      | SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH      |                     5
 COLLIE      | DFO-PAC-ESOLEHS-1944-2005-COLLIE             |                     5
 COLLIE      | DFO-PAC-HERRCC-1951-2007-COLLIE              |                     6
 COLLIE      | DFO-PAC-HERRPRD-1951-2007-COLLIE             |                     6
 COLLIE      | DFO-PAC-HERRQCI-1951-2007-COLLIE             |                     6
 COLLIE      | DFO-PAC-HERRSOG-1951-2007-COLLIE             |                     6
 COLLIE      | DFO-PAC-HERRWCVANI-1951-2007-COLLIE          |                     6
 COLLIE      | DFO-PAC-PCODHS-1956-2005-COLLIE              |                     6
 COLLIE      | DFO-PAC-PCODWCVANI-1956-2002-COLLIE          |                     7
 COLLIE      | DFO-PAC-RSOLEHSTR-1945-2001-COLLIE           |                     6
 COLLIE      | RIDEM-LOBSTERRI-1959-2007-COLLIE             |                     5
 COLLIE      | RIDEM-TAUTOGRI-1959-2007-COLLIE              |                     5
 COLLIE      | RIDEM-WINFLOUNDRI-1959-2007-COLLIE           |                     5
 de Moor     | MARAM-ANCHOSA-1984-2006-de Moor              |                     5
 de Moor     | MARAM-SARDSA-1984-2006-de Moor               |                     5
 FRANCIS     | NIWA-HOKIENZ-1972-2007-FRANCIS               |                     6
 FRANCIS     | NIWA-HOKIWNZ-1972-2007-FRANCIS               |                     6
 FULTON      | CSIRO-BIGHTREDSESSF-1958-2007-FULTON         |                     7
 FULTON      | CSIRO-BTSHRIMPNAUST-1970-2006-FULTON         |                     4
 FULTON      | CSIRO-DEEPFLATHEADSESSF-1978-2007-FULTON     |                     7
 FULTON      | CSIRO-GEMFISHSESSF-1966-2007-FULTON          |                    12
 FULTON      | CSIRO-GTPRAWNNAUST-1970-2006-FULTON          |                     4
 FULTON      | CSIRO-MORWONGSESSF-1913-2007-FULTON          |                    17
 FULTON      | CSIRO-OROUGHYCASCADE-1987-2006-FULTON        |                     5
 FULTON      | CSIRO-OROUGHYSESSF-1978-2007-FULTON          |                     5
 FULTON      | CSIRO-PINKLINGGABSESSF-1968-2007-FULTON      |                     9
 FULTON      | CSIRO-PINKLINGSESSF-1968-2007-FULTON         |                     8
 FULTON      | CSIRO-SILVERFISHSESSF-1978-2006-FULTON       |                     6
 FULTON      | CSIRO-SWHITSESSF-1945-2007-FULTON            |                     9
 FULTON      | CSIRO-TIGERFLATSESSF-1913-2006-FULTON        |                    13
 FULTON      | CSIRO-WAREHOUGABSESSF-1984-2006-FULTON       |                     7
 FULTON      | CSIRO-WAREHOUSESSF-1984-2006-FULTON          |                    10
 GILROY      | SEFSC-MENATGM-1964-2004-GILROY               |                     5
 HUTCHINGS   | DFO-SG-COD4T-1950-2007-HUTCHINGS             |                     6
 JENNINGS    | AFWG-GHALNEAR-1959-2007-JENNINGS             |                     5
 JENNINGS    | HAWG-HERRNIRS-1960-2006-JENNINGS             |                     5
 JENNINGS    | WGBFAS-CODBA2224-1969-2007-JENNINGS          |                     5
 JENNINGS    | WGBFAS-CODBA2532-1964-2007-JENNINGS          |                     5
 JENNINGS    | WGBFAS-HERR2532-1973-2006-JENNINGS           |                     5
 JENNINGS    | WGBFAS-HERR30-1972-2007-JENNINGS             |                     5
 JENNINGS    | WGBFAS-HERR31-1979-2006-JENNINGS             |                     5
 JENNINGS    | WGBFAS-HERRIsum-1983-2007-JENNINGS           |                     5
 JENNINGS    | WGBFAS-HERRRIGA-1976-2007-JENNINGS           |                     5
 JENNINGS    | WGBFAS-SOLEIIIa-1982-2007-JENNINGS           |                     5
 JENNINGS    | WGBFAS-SPRAT22-32-1973-2007-JENNINGS         |                     5
 JENNINGS    | WGHMM-FMEG8c9a-1986-2006-JENNINGS            |                     5
 JENNINGS    | WGHMM-HAKENRTN-1978-2007-JENNINGS            |                     5
 JENNINGS    | WGHMM-HAKESOTH-1982-2007-JENNINGS            |                     5
 JENNINGS    | WGHMM-MEG8c9a-1985-2007-JENNINGS             |                     5
 JENNINGS    | WGHMM-SOLEVIII-1982-2006-JENNINGS            |                     5
 JENNINGS    | WGMHSA-ANCHOBAYB-1986-2007-JENNINGS          |                     4
 JENNINGS    | WGMHSA-MACKNEICES-1972-2007-JENNINGS         |                     5
 JENNINGS    | WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS     |                     4
 JENNINGS    | WGNPBW-BWHITNEA-1979-2007-JENNINGS           |                     5
 JENNINGS    | WGNSSK-HADROCK-1990-2007-JENNINGS            |                     5
 JENNINGS    | WGSSDS-HADVIIb-k-1993-2006-JENNINGS          |                     5
 JENNINGS    | WGSSDS-PLAICCELT-1976-2006-JENNINGS          |                     5
 JENNINGS    | WGSSDS-PLAICECHW-1975-2006-JENNINGS          |                     5
 JENNINGS    | WGSSDS-SOLECS-1970-2006-JENNINGS             |                     5
 JENNINGS    | WGSSDS-SOLEVIIe-1968-2006-JENNINGS           |                     5
 JENNINGS    | WGSSDS-WHITVIIek-1982-2007-JENNINGS          |                     5
 JENSEN      | IATTC-BIGEYEEPAC-1975-2007-JENSEN            |                     3
 JENSEN      | IATTC-YFINEPAC-1975-2007-JENSEN              |                     3
 JENSEN      | ICCAT-SWORDMED-1968-2006-JENSEN              |                     3
 JENSEN      | SEFSC-GAGGM-1963-2004-JENSEN                 |                     5
 JENSEN      | SEFSC-GAGSATLC-1962-2005-JENSEN              |                     4
 JENSEN      | SEFSC-GRAMBERGM-1986-2004-JENSEN             |                     3
 JENSEN      | SEFSC-GRAMBERSATLC-1946-2006-JENSEN          |                     4
 JENSEN      | SEFSC-GTRIGGM-1981-2004-JENSEN               |                     3
 JENSEN      | SEFSC-KMACKGM-1992-2001-JENSEN               |                     5
 JENSEN      | SEFSC-KMACKSATLC-1981-2001-JENSEN            |                     5
 JENSEN      | SEFSC-MUTSNAPSATLCGM-1981-2006-JENSEN        |                     3
 JENSEN      | SEFSC-RPORGYSATLC-1972-2005-JENSEN           |                     5
 JENSEN      | SEFSC-RSNAPGM-1986-2005-JENSEN               |                     5
 JENSEN      | SEFSC-RSNAPSATLC-1945-2006-JENSEN            |                     4
 JENSEN      | SEFSC-SPANMACKSATLC-1950-2008-JENSEN         |                     5
 JENSEN      | SEFSC-VSNAPGM-1981-2004-JENSEN               |                     4
 JENSEN      | SPC-ALBASPAC-1959-2007-JENSEN                |                     5
 JENSEN      | SPC-BIGEYEWPO-1952-2007-JENSEN               |                     5
 JENSEN      | SPC-SKJCWPAC-1972-2007-JENSEN                |                     5
 JENSEN      | SPC-YFINCWPAC-1952-2006-JENSEN               |                     5
 JENSEN      | TAFI-TASGIANTCRABTAS-1990-2007-JENSEN        |                     5
 Johnston    | MARAM-CTRACSA-1950-2007-Johnston             |                     5
 Johnston    | MARAM-SSLOBSTERSASC-1973-2008-Johnston       |                     5
 LEGAULT     | NEFSC-YELLCCODGOM-1935-2008-LEGAULT          |                     6
 MINTO       | AFWG-CAPENOR-1964-2006-MINTO                 |                     5
 MINTO       | AFWG-CODCOASTNOR-1982-2006-MINTO             |                     7
 MINTO       | AFWG-CODNEAR-1943-2006-MINTO                 |                    13
 MINTO       | AFWG-GOLDREDNEAR-1986-2006-MINTO             |                     7
 MINTO       | AFWG-HADNEAR-1947-2006-MINTO                 |                    13
 MINTO       | AFWG-POLLNEAR-1957-2006-MINTO                |                     7
 MINTO       | AFWG-REDDEEPI_II-1987-2007-MINTO             |                     3
 MINTO       | HAWG-HERR2224IIIa-1991-2006-MINTO            |                     7
 MINTO       | HAWG-HERRNS-1960-2007-MINTO                  |                     6
 MINTO       | HAWG-HERRVIa-1957-2006-MINTO                 |                     7
 MINTO       | HAWG-HERRVIaVIIbc-1969-2000-MINTO            |                     7
 MINTO       | HAWG-SPRATNS-1995-2007-MINTO                 |                     5
 MINTO       | NWWG-CAPEICE-1977-2007-MINTO                 |                     5
 MINTO       | NWWG-CODFAPL-1959-2006-MINTO                 |                     7
 MINTO       | NWWG-CODICE-1952-2006-MINTO                  |                     6
 MINTO       | NWWG-HADFAPL-1955-2007-MINTO                 |                     7
 MINTO       | NWWG-HADICE-1977-2007-MINTO                  |                     7
 MINTO       | NWWG-POLLFAPL-1958-2006-MINTO                |                     7
 MINTO       | WGBFAS-CODKAT-1970-2006-MINTO                |                     7
 MINTO       | WGNSDS-CODIS-1968-2006-MINTO                 |                     7
 MINTO       | WGNSDS-CODVIa-1977-2006-MINTO                |                     7
 MINTO       | WGNSDS-HADIS-1991-2006-MINTO                 |                     5
 MINTO       | WGNSDS-HADVIa-1977-2006-MINTO                |                     7
 MINTO       | WGNSDS-PLAICIS-1962-2006-MINTO               |                     7
 MINTO       | WGNSDS-SOLEIS-1968-2006-MINTO                |                     7
 MINTO       | WGNSDS-WHITVIa-1984-2007-MINTO               |                     5
 MINTO       | WGNSSK-CODNS-1962-2006-MINTO                 |                     5
 MINTO       | WGNSSK-HADNS-IIIa-1963-2006-MINTO            |                     9
 MINTO       | WGNSSK-NPOUTNS-1983-2007-MINTO               |                     6
 MINTO       | WGNSSK-PLAIC7d-1979-2006-MINTO               |                     6
 MINTO       | WGNSSK-PLAICIIIa-1976-2005-MINTO             |                     6
 MINTO       | WGNSSK-PLAICNS-1956-2006-MINTO               |                     7
 MINTO       | WGNSSK-POLLNS-VI-IIIa-1964-2006-MINTO        |                     7
 MINTO       | WGNSSK-SEELNS-1983-2007-MINTO                |                     7
 MINTO       | WGNSSK-SOLENS-1956-2006-MINTO                |                     6
 MINTO       | WGNSSK-SOLEVIId-1981-2006-MINTO              |                     7
 MINTO       | WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO      |                     9
 MYERS       | _-AMPL3LNO-1958-1989-MYERS                   |                     4
 MYERS       | _-CAPEICE-1977-1997-MYERS                    |                     4
 MYERS       | _-COD1-1952-1992-MYERS                       |                     4
 MYERS       | _-COD2J3KL-1850-2000-MYERS                   |                     4
 MYERS       | _-COD3NO-1953-2002-MYERS                     |                     4
 MYERS       | _-COD3Ps-1956-1993-MYERS                     |                     4
 MYERS       | _-COD4VsW-1957-1993-MYERS                    |                     4
 MYERS       | _-COD4X-1947-2001-MYERS                      |                     4
 MYERS       | _-COD5Z-1977-1998-MYERS                      |                     4
 MYERS       | _-CODBA2532-1964-2003-MYERS                  |                     4
 MYERS       | _-CODCOASTNOR-1982-2000-MYERS                |                     4
 MYERS       | _-CODFAPL-1924-2000-MYERS                    |                     4
 MYERS       | _-CODICE-1905-2000-MYERS                     |                     4
 MYERS       | _-CODKAT-1970-2000-MYERS                     |                     4
 MYERS       | _-CODNEAR-1930-1991-MYERS                    |                     4
 MYERS       | _-CODNS-1930-2002-MYERS                      |                     4
 MYERS       | _-CODVIa-1965-2000-MYERS                     |                     4
 MYERS       | _-CODVIId-1975-1994-MYERS                    |                     4
 MYERS       | _-GHALNEAR-1959-2004-MYERS                   |                     4
 MYERS       | _-HAD4X-1931-1989-MYERS                      |                     4
 MYERS       | _-HADFAPL-1959-2000-MYERS                    |                     4
 MYERS       | _-HADICE-1950-1990-MYERS                     |                     4
 MYERS       | _-HADIS-1993-2000-MYERS                      |                     4
 MYERS       | _-HADNEAR-1947-2004-MYERS                    |                     4
 MYERS       | _-HADROCK-1981-2000-MYERS                    |                     4
 MYERS       | _-HADVIa-1965-1993-MYERS                     |                     4
 MYERS       | _-HERRIsum-1946-2000-MYERS                   |                     4
 MYERS       | _-HERRNIRS-1971-2000-MYERS                   |                     4
 MYERS       | _-HERRNS-1903-1990-MYERS                     |                     4
 MYERS       | _-HERRVIaVIIbc-1969-2000-MYERS               |                     4
 MYERS       | _-MACKNEICES-1984-2000-MYERS                 |                     4
 MYERS       | _-NPOUTNS-1957-2001-MYERS                    |                     4
 MYERS       | _-PCODGA-1975-2000-MYERS                     |                     4
 MYERS       | _-PCODHS-1956-1989-MYERS                     |                     4
 MYERS       | _-PLAIC7d-1979-2000-MYERS                    |                     4
 MYERS       | _-PLAICIIIa-1976-2001-MYERS                  |                     4
 MYERS       | _-PLAICIS-1963-2000-MYERS                    |                     4
 MYERS       | _-PLAICNS-1956-2000-MYERS                    |                     4
 MYERS       | _-POLLNEAR-1957-2004-MYERS                   |                     4
 MYERS       | _-SEELNNS-1972-1990-MYERS                    |                     4
 MYERS       | _-SEELSNS-1972-1990-MYERS                    |                     3
 MYERS       | _-SOLECS-1970-2004-MYERS                     |                     4
 MYERS       | _-SOLEIIIa-1952-2000-MYERS                   |                     4
 MYERS       | _-SOLEIS-1968-2000-MYERS                     |                     4
 MYERS       | _-SOLENS-1906-2000-MYERS                     |                     4
 MYERS       | _-SOLEVIId-1970-2000-MYERS                   |                     4
 MYERS       | _-SOLEVIIe-1968-2004-MYERS                   |                     4
 MYERS       | _-SPRAT22-32-1973-2000-MYERS                 |                     4
 MYERS       | _-WHITBLACKW-1971-1993-MYERS                 |                     4
 MYERS       | _-WHITVIa-1964-1992-MYERS                    |                     4
 MYERS       | _-YELL3LNO-1963-1989-MYERS                   |                     4
