Assessid,Stockid,Large Marine Ecosystem,Scientific name,Fisheries stock,Bmsy,Btype,Comment,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,Minimum
WGSSDS-WHITVIIek-1982-2007-JENNINGS,WHITVIIek,Celtic-Biscay Shelf,Merlangius merlangus,Whiting ICES VIIe-k,60728.9,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.373,0.377,0.386,0.385,0.431,0.621,0.754,0.652,0.54,0.549,0.793,1.01,1.343,1.374,1.294,1.102,0.898,0.728,0.761,0.809,0.763,0.642,0.606,0.554,0.443,,,0.373
WGHMM-HAKENRTN-1977-2007-JENNINGS,HAKENRTN,Celtic-Biscay Shelf,Merluccius merluccius,Hake Northeast Atlantic North,232287,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.408,1.374,1.441,1.416,1.316,1.316,1.678,1.554,1.28,1.036,0.96,0.822,0.767,0.705,0.719,0.695,0.749,0.667,0.706,0.725,0.703,0.695,0.728,0.791,0.873,0.932,0.906,1.044,,,0.667
WGMHSA-MACKNEICES-1972-2007-JENNINGS,MACKNEICES,Celtic-Biscay Shelf,Scomber scombrus,Mackerel ICES Northeast Atlantic,2986870,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,1.773,1.738,1.697,1.635,1.539,1.437,1.319,1.175,1.067,1.109,1.085,1.124,1.047,1.109,1.108,1.062,1.086,1.11,1.037,1.13,1.16,1.123,1.067,1.123,1.069,1.124,1.078,1.101,1.012,0.967,0.856,0.961,0.911,1.022,0.976,,,0.856
AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK,ALPLAICBSAI,Eastern Bering Sea,Pleuronectes quadrituberculatus,Alaska plaice Bering Sea and Aleutian Islands,129300,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,1.331,1.614,1.917,2.18,2.383,2.609,2.866,3.184,3.433,3.634,3.685,3.623,3.492,3.348,3.125,2.995,2.86,2.71,2.579,2.505,2.464,2.401,2.379,2.326,2.326,2.289,2.26,2.197,2.129,2.067,2.052,2.076,2.2,,1.331
AFSC-ARFLOUNDBSAI-1970-2008-STANTON,ARFLOUNDBSAI,Eastern Bering Sea,Reinhardtius stomias,Arrowtooth flounder Bering Sea and Aleutian Islands,292200,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.543,0.54,0.573,0.597,0.594,0.593,0.608,0.64,0.665,0.732,0.823,0.879,0.946,0.992,1.069,1.174,1.311,1.461,1.578,1.637,1.694,1.717,1.736,1.745,1.797,1.859,1.925,2.041,2.174,2.27,2.388,2.541,2.698,0.54
AFSC-ATKABSAI-1977-2009-STANTON,ATKABSAI,Eastern Bering Sea,Pleurogrammus monopterygius,Atka mackerel Bering Sea and Aleutian Islands,85500,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.885,0.901,0.993,1.184,1.73,1.821,1.695,1.468,1.178,1.004,1.008,1.106,1.253,1.474,1.714,2.231,2.277,1.989,1.751,1.595,1.355,1.237,1.311,1.156,1.063,1.337,1.896,2.224,2.293,1.936,1.715,1.714,0.885
AFSC-FLSOLEBSAI-1977-2008-STANTON,FLSOLEBSAI,Eastern Bering Sea,Hippoglossoides elassodon,Flathead sole Bering Sea and Aleutian Islands,139188,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168,0.152,0.144,0.151,0.175,0.235,0.348,0.51,0.684,0.85,1.009,1.171,1.343,1.538,1.697,1.834,1.949,2.076,2.229,2.347,2.421,2.41,2.344,2.267,2.191,2.124,2.047,1.978,1.917,1.882,1.85,1.833,0.144
AFSC-GHALBSAI-1960-2009-STANTON,GHALBSAI,Eastern Bering Sea,Reinhardtius hippoglossoides,Greenland turbot Bering Sea and Aleutian Islands,38265,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.772,11.367,10.821,10.316,9.711,9.055,8.469,7.787,7.433,7.18,6.955,6.678,6.378,6.015,5.574,5.185,4.861,4.453,4.073,3.739,3.438,3.129,2.793,2.536,2.268,2.054,1.878,1.718,1.601,1.506,1.461,1.46,1.46
AFSC-NRSOLEEBSAI-1971-2008-STANTON,NRSOLEEBSAI,Eastern Bering Sea,Lepidopsetta polyxystra,Northern rock sole Eastern Bering Sea and Aleutian Islands,173320,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.313,0.364,0.41,0.452,0.482,0.514,0.551,0.595,0.602,0.686,0.806,0.928,1.018,1.189,1.467,1.745,2.079,2.458,2.852,3.226,3.556,3.744,3.899,3.962,3.93,3.84,3.692,3.537,3.298,3.121,3.015,,0.313
AFSC-NROCKBSAI-1977-2009-STANTON,NROCKBSAI,Eastern Bering Sea,Sebastes polyspinis,Northern rockfish Bering Sea and Aleutian Islands,48399,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.671,0.672,0.678,0.705,0.735,0.77,0.805,0.842,0.878,0.915,0.952,0.99,1.028,1.065,1.098,1.136,1.159,1.166,1.181,1.199,1.214,1.253,1.279,1.295,1.306,1.312,1.329,1.34,1.354,1.372,1.395,1.415,0.671
AFSC-PCODBSAI-1964-2008-MELNYCHUK,PCODBSAI,Eastern Bering Sea,Gadus macrocephalus,Pacific cod Bering Sea and Aleutian Islands,373000,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.682,0.729,0.786,0.912,1.2,1.668,2.124,2.338,2.313,2.18,2.098,2.046,1.942,1.811,1.597,1.317,1.182,1.211,1.269,1.276,1.292,1.24,1.231,1.271,1.356,1.437,1.466,1.473,1.423,1.299,1.141,,0.682
AFSC-PERCHEBSAI-1974-2009-STANTON,PERCHEBSAI,Eastern Bering Sea,Sebastes alutus,Pacific ocean perch Eastern Bering Sea and Aleutian Islands,107627,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.248,0.235,0.228,0.223,0.222,0.227,0.247,0.276,0.315,0.361,0.414,0.482,0.549,0.601,0.659,0.737,0.811,0.884,0.984,1.074,1.141,1.204,1.256,1.284,1.306,1.317,1.312,1.297,1.293,1.297,1.288,1.273,0.222
AFSC-SNOWCRABBS-1979-2008-JENSEN,SNOWCRABBS,Eastern Bering Sea,Chionoecetes opilio,Snow crab Bering Sea,418030.728,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.346,1.389,0.805,0.988,0.729,0.578,0.204,0.279,0.988,1.188,1.865,1.687,1.926,1.127,1.14,0.926,1.226,1.28,1.141,0.884,0.358,0.653,0.713,0.383,0.356,0.424,0.598,0.564,0.66,0.553,0.204
AFSC-TANNERCRABBSAI-1965-2008-JENSEN,TANNERCRABBSAI,Eastern Bering Sea,Chionoecetes bairdi,Tanner crab Bering Sea,86073.62,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,0.626,1.402,2.467,0.918,0.946,0.429,0.204,0.668,0.615,0.464,0.281,0.172,0.11,0.149,0.251,0.532,0.781,0.616,0.741,0.777,0.477,0.341,0.268,0.244,0.097,0.098,0.192,0.174,0.192,0.194,0.269,0.29,0.454,0.667,0.794,,0.097
AFSC-WPOLLEBS-1963-2008-MELNYCHUK,WPOLLEBS,Eastern Bering Sea,Theragra chalcogramma,Walleye pollock Eastern Bering Sea,1919000,Surplus production fit,,,,,,,,,,,,,,,,0.231,0.294,0.341,0.423,0.519,0.663,0.838,0.945,0.917,0.726,0.473,0.374,0.394,0.429,0.445,0.429,0.496,0.837,1.273,1.571,1.674,1.817,1.951,2.029,2.026,1.817,1.451,1.063,1.109,1.561,1.731,1.848,1.86,1.756,1.623,1.629,1.643,1.64,1.536,1.604,1.612,1.44,1.146,0.917,,0.231
AFSC-YSOLEBSAI-1959-2008-MELNYCHUK,YSOLEBSAI,Eastern Bering Sea,Limanda aspera,Yellowfin sole Bering Sea and Aleutian Islands,329000,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.619,0.86,1.111,1.409,1.712,1.981,2.223,2.411,2.487,2.47,2.425,2.347,2.251,2.288,2.415,2.505,2.566,2.599,2.554,2.483,2.361,2.236,2.181,2.162,2.147,2.124,2.117,2.096,2.083,2.048,2.001,,0.619
AFSC-BKINGCRABPI-1960-2008-JENSEN,BKINGCRABPI,Eastern Bering Sea,Paralithodes platypus,Blue king crab Pribilof Islands,4209.33376,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.516,3.469,1.827,1.24,0.53,0.27,0.306,0.568,0.151,0.218,0.665,0.948,0.988,0.941,0.672,1.777,1.071,0.658,0.727,0.402,0.446,0.342,0.147,0.144,0.031,0.082,0.042,0.082,0.031
AFSC-RKCRABNS-1976-2008-JENSEN,RKCRABNS,Eastern Bering Sea,Paralithodes camtschaticus,Red king crab Norton Sound,1618,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.125,3.271,2.934,2.148,1.139,0.777,0.651,0.783,0.89,1.07,1.163,1.108,1.103,1.137,1.137,1.104,1.062,0.984,0.816,0.671,0.643,0.684,0.755,0.979,1.043,0.916,0.968,1.039,1.134,1.09,1.016,1.234,1.469,0.643
AFSC-BKINGCRABSMI-1960-2008-JENSEN,BKINGCRABSMI,Eastern Bering Sea,Paralithodes platypus,Blue king crab St. Matthew Island,3351,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.981,1.449,2.173,2.27,1.515,0.753,0.504,0.372,0.447,0.474,0.573,0.692,1.054,1.114,1.275,1.371,1.379,1.436,1.675,1.706,0.519,0.368,0.477,0.546,0.635,0.634,0.682,0.716,0.957,1.311,1.454,0.368
AFSC-RKCRABPI-1981-2009-JENSEN,RKCRABPI,Eastern Bering Sea,Paralithodes camtschaticus,Red king crab Pribilof Islands,3928,Surplus production fit,OK - 2009 value used in crosshairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.672,0.672,0.344,0.089,0.094,0.025,0.031,0.01,0.032,0.359,0.277,0.937,0.786,1.945,1.887,0.983,0.512,1.34,0.585,0.002,1.008,2.014,1.718,1.276,0.987,0.344,1.807,1.915,0.002
AFSC-RKCRABBB-1960-2008-JENSEN,RKCRABBB,Eastern Bering Sea,Paralithodes camtschaticus,Red king crab Bristol Bay,34070,Surplus production fit,Added 2008 SSB value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.387,0.533,0.663,0.807,0.892,0.798,0.656,0.614,0.538,0.689,0.756,0.695,0.648,0.753,0.922,0.947,0.929,1.009,0.988,0.909,0.963,1.082,1.106,1.273,0.387
AFSC-GKINGCRABAIES-1990-2007-JENSEN,GKINGCRABAIES,Eastern Bering Sea,Lithodes aequispinus,Golden king crab Aleutian Islands Eastern Stock,38018,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.266,1.301,1.323,1.33,1.32,1.297,1.261,1.217,1.166,0.874,0.827,0.782,0.738,0.697,0.658,0.693,0.647,0.605,,0.605
AFSC-GKINGCRABAIWS-1989-2007-JENSEN,GKINGCRABAIWS,Eastern Bering Sea,Lithodes aequispinus,Golden king crab Aleutian Islands Western Stock,42848,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.498,1.466,1.43,1.389,1.342,1.291,1.235,1.177,1.117,1.058,0.826,0.779,0.735,0.694,0.656,0.621,0.594,0.562,0.533,,0.533
NWWG-CODFAPL-1959-2006-MINTO,CODFAPL,Faroe Plateau,Gadus morhua,Atlantic cod Faroe Plateau,99316.6,Surplus production fit,,,,,,,,,,,,,0.659,0.687,0.781,0.852,0.756,0.845,1.06,1.112,1.063,0.991,0.788,0.77,1.115,1.402,1.547,1.624,1.371,0.969,0.857,0.856,0.89,0.996,1.241,1.532,1.321,0.999,0.788,0.665,0.591,0.382,0.288,0.358,0.512,0.843,1.451,1.432,0.975,0.666,0.654,0.917,1.106,0.983,0.598,0.357,0.287,0.256,,,0.256
NWWG-HADFAPL-1955-2006-MINTO,HADFAPL,Faroe Plateau,Melanogrammus aeglefinus,Haddock Faroe Plateau,95794.9,Surplus production fit,,,,,,,,,0.942,0.971,0.939,1.007,0.974,1.026,0.942,0.789,0.75,0.718,0.805,0.918,0.99,0.962,0.97,0.955,1.033,1.22,1.45,1.5,1.264,1.259,1.039,0.915,0.825,0.714,0.669,1.053,0.984,1.032,0.919,0.813,0.733,0.566,0.411,0.309,0.306,0.292,0.945,1.22,1.16,1.002,0.87,1.225,1.664,1.76,1.629,1.492,1.083,0.849,,,0.292
NWWG-POLLFAPL-1958-2006-MINTO,POLLFAPL,Faroe Plateau,Pollachius virens,Pollock Faroe Plateau,240553,Surplus production fit,,,,,,,,,,,,,0.507,0.526,0.658,0.667,0.727,0.766,0.755,0.789,0.894,0.933,0.95,0.985,0.875,0.848,0.779,0.706,0.65,0.571,0.47,0.519,0.591,0.625,0.745,0.792,0.791,0.98,1.042,1.085,0.954,0.801,0.625,0.518,0.556,0.53,0.637,0.678,0.751,0.685,0.885,0.927,1.193,1.302,1.235,1.146,1.122,0.99,,,0.47
DFO-PAC-ESOLEHS-1944-2001-COLLIE,ESOLEHS,Gulf of Alaska,Parophrys vetulus,English sole Hecate Strait,2757.62,Surplus production fit,,1.597,1.073,0.968,0.824,0.718,0.833,0.838,0.834,0.763,0.716,0.627,0.474,0.399,0.428,0.515,0.662,0.818,1.074,1.132,1.105,0.995,0.823,0.853,1.205,1.39,1.36,1.679,1.577,1.456,1.468,0.97,0.975,1.058,1.26,1.205,1.008,1.152,1.306,1.187,1.504,1.475,1.348,1.441,1.75,1.677,1.647,1.418,2,1.09,1.052,1.126,1.235,,,,,,,,0.399
DFO-PAC-PCODHS-1956-2005-COLLIE,PCODHS,Gulf of Alaska,Gadus macrocephalus,Pacific cod Hecate Strait,8861,Surplus production fit,"OK, different year used",,,,,,,1.596,2.177,2.867,2.658,2.144,1.786,2.017,3.071,5.588,6.034,4.836,3.63,2.616,1.745,1.315,1.26,3.024,4.604,4.848,3.988,2.976,2.383,2.05,2.698,2.395,2.261,2.34,2.065,1.752,1.36,4.053,5.371,4.352,3.036,2.528,2.871,2.199,1.596,0.98,0.762,0.932,0.944,0.83,0.69,0.512,0.417,0.476,0.831,1.084,1.202,,,,0.417
DFO-PAC-PCODWCVANI-1956-2002-COLLIE,PCODWCVANI,Gulf of Alaska,Gadus macrocephalus,Pacific cod West Coast of Vancouver Island,6731,Surplus production fit,,,,,,,,1.89,1.538,1.371,1.272,1.102,0.979,1.105,1.902,2.252,2.259,1.959,1.708,1.391,1.294,1.6,2.482,2.475,2.012,2.809,3.035,2.657,2.191,1.811,1.621,1.402,1.129,0.829,0.638,0.491,0.436,0.811,1.079,2.497,2.548,1.9,1.499,0.938,0.67,0.477,0.301,0.271,0.276,0.293,0.434,0.522,0.668,1.037,,,,,,,0.271
DFO-PAC-HERRCC-1951-2007-COLLIE,HERRCC,Gulf of Alaska,Clupea pallasii,Pacific herring Central Coast,37276.1,Surplus production fit,,,1.937,1.305,0.578,1.764,1.736,1.594,0.795,0.854,1.008,1.184,1.211,0.988,1.418,1.284,0.571,1.162,0.827,0.362,0.127,0.875,0.742,0.489,0.831,0.664,1.262,1.171,1.014,0.719,0.395,0.352,2.222,1.984,1.393,1.074,1.045,0.895,0.738,1.205,1.35,1.04,0.898,1.251,1.409,1.447,0.856,0.606,0.752,0.988,1.078,1.116,0.78,0.659,0.648,0.673,0.683,0.461,0.3,,0.127
DFO-PAC-HERRPRD-1951-2007-COLLIE,HERRPRD,Gulf of Alaska,Clupea pallasii,Pacific herring Prince Rupert District,108755,Surplus production fit,,,0.703,0.625,0.309,0.36,0.328,0.496,0.439,0.412,0.439,0.69,0.849,0.75,1,0.813,0.711,0.202,0.177,0.107,0.016,0.181,0.199,0.1,0.144,0.247,0.218,0.161,0.236,0.221,0.13,0.255,0.232,0.296,0.387,0.428,0.597,0.502,0.412,0.364,0.35,0.265,0.279,0.391,0.28,0.18,0.172,0.217,0.443,0.335,0.311,0.255,0.238,0.218,0.316,0.27,0.22,0.168,0.164,,0.016
DFO-PAC-HERRQCI-1951-2007-COLLIE,HERRQCI,Gulf of Alaska,Clupea pallasii,Pacific herring Queen Charlotte Islands,44812.2,Surplus production fit,,,0.142,0.372,0.23,0.291,0.272,1.951,0.566,0.411,0.273,0.197,0.217,0.39,0.599,0.747,0.851,0.117,0.029,0.049,0.064,0.169,0.332,0.277,0.336,0.709,0.828,0.716,0.734,0.471,0.418,0.975,1.213,1.044,1.18,0.685,0.544,0.355,0.294,0.503,0.925,0.611,0.414,0.357,0.3,0.173,0.116,0.163,0.252,0.469,0.313,0.194,0.285,0.091,0.195,0.127,0.082,0.092,0.204,,0.029
DFO-PAC-HERRSOG-1951-2007-COLLIE,HERRSOG,Gulf of Alaska,Clupea pallasii,Pacific herring Strait of Georgia,82874.8,Surplus production fit,,,0.912,1.091,0.906,1.345,1.798,1.235,0.901,0.434,1.261,1.362,0.952,1.125,1.171,1.209,0.972,0.499,0.495,0.151,0.26,0.413,0.456,0.452,0.321,0.695,0.796,0.704,1.181,1.152,0.991,1.226,1.344,1.152,0.773,0.564,0.611,0.781,0.732,0.903,1.002,1.092,0.925,1.168,1.617,1.212,0.99,1.022,1.103,1.074,1.026,1.129,1.134,1.429,1.447,1.488,1.361,1.09,0.911,,0.151
DFO-PAC-HERRWCVANI-1951-2007-COLLIE,HERRWCVANI,Gulf of Alaska,Clupea pallasii,Pacific herring West Coast of Vancouver Island,63186.1,Surplus production fit,,,1.2,0.595,0.671,0.865,0.615,0.873,0.897,1.098,1.355,1.002,0.713,0.925,0.522,0.8,0.533,0.279,0.382,0.278,0.268,0.684,0.941,0.637,0.757,1.885,1.906,1.662,1.378,1.363,1.65,2.165,2.328,1.381,0.858,0.81,1.394,1.189,0.901,0.701,1.065,0.896,0.591,0.689,0.636,0.841,0.346,0.492,0.815,0.619,0.419,0.252,0.224,0.352,0.363,0.289,0.232,0.044,0.034,,0.034
DFO-PAC-RSOLEHSTR-1945-2001-COLLIE,RSOLEHSTR,Gulf of Alaska,Lepidopsetta bilineata,Rock sole Hecate Strait,4727.05,Surplus production fit,,0.601,0.637,0.819,0.683,0.779,0.732,0.595,0.506,0.533,0.559,0.682,0.695,0.799,0.861,0.933,1.058,1.068,1.076,1.027,0.945,0.725,0.733,0.599,0.762,0.867,0.723,0.942,0.702,0.656,0.667,0.747,0.689,0.908,0.814,0.795,0.817,0.901,0.981,1.048,1.115,1.449,1.087,1.51,1.657,1.492,1.751,1.449,1.203,1.027,1.449,1.203,1.027,,,,,,,,0.506
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,SABLEFEBSAIGA,Gulf of Alaska,Anoplopoma fimbria,Sablefish Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,100730,Surplus production fit,Changed values by hand based on QA/QC from Kate,,,,,,,,,,,1.449,1.499,1.578,1.628,1.737,1.866,2.015,2.115,2.194,2.214,2.214,2.144,1.986,1.717,1.489,1.271,1.122,0.993,0.913,0.893,0.864,0.874,0.933,1.082,1.271,1.449,1.618,1.698,1.688,1.608,1.509,1.39,1.281,1.181,1.072,0.993,0.953,0.933,0.913,0.884,0.864,0.844,0.854,0.884,0.913,0.963,1.013,1.042,1.052,0.844
SEFSC-GAGGM-1963-2004-JENSEN,GAGGM,Gulf of Mexico,Mycteroperca microlepis,Gag Gulf of Mexico,12383.06,Surplus production fit,,,,,,,,,,,,,,,1.911,1.865,1.803,1.7,1.581,1.456,1.323,1.187,1.057,0.933,0.817,0.72,0.624,0.545,0.532,0.5,0.487,0.496,0.519,0.571,0.611,0.587,0.694,0.607,0.574,0.576,0.53,0.499,0.488,0.437,0.457,0.455,0.469,0.486,0.599,0.697,0.739,0.902,0.946,0.923,0.954,0.997,,,,,0.437
SEFSC-MENATGM-1964-2004-GILROY,MENATGM,Gulf of Mexico,Brevoortia patronus,Gulf menhaden Gulf of Mexico,2442840,Surplus production fit,,,,,,,,,,,,,,,,0.518,0.462,0.327,0.487,0.628,1.208,1.07,1.106,0.85,1.054,1.178,0.791,0.798,0.981,1.626,1.642,0.993,1.413,1.682,1.383,1.344,1.931,1.301,1.09,0.785,0.977,1.247,1.255,1.26,1.917,1.942,1.71,1.375,1.854,1.675,2.396,1.928,1.956,1.611,1.034,1.08,,,,,0.327
WGHMM-FMEG8c9a-1986-2006-JENNINGS,FMEG8c9a,Iberian Coastal,Lepidorhombus boscii,Fourspotted megrim ICES VIIIc-IXa,8213.65,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.755,0.943,1,0.976,0.855,0.796,0.749,0.745,0.699,0.647,0.61,0.572,0.606,0.559,0.537,0.513,0.582,0.61,0.625,0.664,0.703,,,0.513
WGHMM-MEG8c9a-1985-2007-JENNINGS,MEG8c9a,Iberian Coastal,Lepidorhombus whiffiagonis,Megrim ICES VIIIc-IXa,2955,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.865,0.772,0.875,0.97,1,0.609,0.622,0.53,0.409,0.438,0.545,0.56,0.501,0.427,0.468,0.384,0.388,0.45,0.384,0.409,0.427,,,0.384
NWWG-CODICE-1952-2006-MINTO,CODICE,Iceland Shelf,Gadus morhua,Atlantic cod Iceland,1475000,Surplus production fit,,,,,,,1.598,1.411,1.273,1.264,1.239,1.188,1.014,1.012,0.892,0.826,0.694,0.7,0.748,0.829,0.899,0.906,0.744,0.676,0.572,0.622,0.607,0.647,0.875,0.881,0.947,1.009,0.842,0.658,0.536,0.62,0.628,0.576,0.699,0.704,0.683,0.569,0.472,0.37,0.399,0.389,0.375,0.453,0.531,0.486,0.495,0.399,0.47,0.494,0.502,0.547,0.477,0.458,,,0.37
NWWG-CAPEICE-1977-2007-MINTO,CAPEICE,Iceland Shelf,Mallotus villosus,Capelin Iceland,2423830,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.168,0.881,0.466,0.428,0.421,0.854,1.001,1.16,1.281,1.089,0.867,0.611,0.533,0.815,0.849,0.944,0.944,1.241,1.19,0.969,0.906,0.955,0.893,1.003,0.822,1.048,0.681,0.402,0.486,,,0.402
NWWG-HADICE-1977-2007-MINTO,HADICE,Iceland Shelf,Melanogrammus aeglefinus,Haddock Iceland,305240,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.549,0.649,0.702,0.617,0.505,0.389,0.349,0.309,0.34,0.504,0.558,0.481,0.399,0.347,0.426,0.414,0.397,0.353,0.285,0.32,0.298,0.294,0.378,0.553,0.721,0.82,0.852,1,0.984,,0.285
WGBFAS-HERRIsum-1983-2007-JENNINGS,HERRIsum,Iceland Shelf,Clupea harengus,Herring Iceland (summer spawners),964971,Surplus production fit,"OK, different year used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.465,0.537,0.53,0.49,0.437,0.449,0.533,0.576,0.581,0.486,0.368,0.39,0.388,0.394,0.417,0.384,0.651,0.763,0.821,0.92,1,0.95,,0.368
ICCAT-SWORDMED-1968-2006-JENSEN,SWORDMED,Mediterranean Sea,Xiphias gladius,Swordfish Mediterranean Sea,117300,Surplus production fit,,,,,,,,,,,,,,,,,,,,1.5,1.543,1.586,1.62,1.645,1.654,1.671,1.679,1.697,1.714,1.722,1.714,1.722,1.714,1.705,1.705,1.697,1.637,1.577,1.509,1.432,1.347,1.287,1.245,1.211,1.185,1.168,1.134,1.125,1.125,1.1,1.083,1.066,1.04,1.014,1.006,0.98,0.955,0.938,,,0.938
NZMFishMIDDEPTHSWG-NZLINGLIN3-4-1972-2007-JENSEN,NZLINGLIN3-4,New Zealand Shelf,Genypterus blacodes,Ling New Zealand Areas LIN3 and LIN4,30157.781,SSB mt,Cordue obtained directly,,,,,,,,,,,,,,,,,,,,,,,4.85,4.843,4.832,4.542,3.966,3.243,3.128,3.232,3.402,3.62,3.854,4.142,4.443,4.677,4.811,4.941,4.914,4.85,4.691,4.441,4.14,3.867,3.607,3.332,3.119,2.966,2.806,2.656,2.57,2.525,2.549,2.632,2.771,2.914,3.01,3.069,,2.525
NZMFishMIDDEPTHSWG-NZLINGLIN5-6-1972-2007-JENSEN,NZLINGLIN5-6,New Zealand Shelf,Genypterus blacodes,Ling New Zealand Areas LIN5 and LIN6,48407.352,SSB mt,Cordue obtained directly,,,,,,,,,,,,,,,,,,,,,,,5.353,5.344,5.324,5.306,5.239,5.168,5.093,4.963,4.841,4.771,4.788,4.844,4.888,4.888,4.964,5.049,5.186,5.276,5.325,5.272,5.131,4.911,4.715,4.483,4.246,4.014,3.834,3.738,3.71,3.771,3.885,3.986,4.013,3.99,3.975,3.959,,3.71
NZMFishMIDDEPTHSWG-NZLINGLIN6b-1980-2006-JENSEN,NZLINGLIN6b,New Zealand Shelf,Genypterus blacodes,Ling New Zealand Area LIN6b,3014.0994,SSB mt,Cordue obtained directly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.102,4.099,4.099,4.096,4.095,4.098,4.105,4.11,4.116,4.137,4.187,4.141,3.777,3.443,3.374,3.338,3.277,3.311,3.302,3.33,3.152,3.048,3.023,2.744,2.399,2.35,2.187,,,2.187
NZMFishMIDDEPTHSWG-NZLINGLIN72-1972-2007-JENSEN,NZLINGLIN72,New Zealand Shelf,Genypterus blacodes,Ling New Zealand Area LIN7CK,1700.080512,SSB mt,Cordue obtained directly,,,,,,,,,,,,,,,,,,,,,,,4.664,4.627,4.581,4.536,4.485,4.429,4.366,4.303,4.24,4.174,4.108,4.052,3.986,3.923,3.859,3.822,3.789,3.724,3.564,3.308,3.049,2.821,2.708,2.658,2.654,2.667,2.74,2.779,2.88,3.025,3.07,3.056,2.951,2.793,2.656,2.486,,2.486
NZMFishMIDDEPTHSWG-NZLINGLIN7WC-1972-2008-JENSEN,NZLINGLIN7WC,New Zealand Shelf,Genypterus blacodes,Ling New Zealand Area LIN7WC,28029.9456,SSB mt,Cordue obtained directly,,,,,,,,,,,,,,,,,,,,,,,2.907,2.905,2.9,2.865,2.785,2.637,2.645,2.657,2.675,2.705,2.721,2.692,2.656,2.629,2.589,2.54,2.477,2.381,2.269,2.159,2.062,1.994,1.952,1.926,1.913,1.92,1.926,1.917,1.891,1.848,1.805,1.77,1.751,1.767,1.843,1.992,2.214,1.751
NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN,BLACKOREOWECR,New Zealand Shelf,Allocyttus niger,Black oreo west end of Chatham Rise,27427,SSB mt,Cordue obtained directly,,,,,,,,,,,,,,,,,,,,,,,,3.246,3.161,3.068,2.943,2.916,2.824,2.685,2.674,2.536,2.237,1.959,1.781,1.623,1.54,1.503,1.428,1.385,1.352,1.319,1.255,1.204,1.134,1.088,1.075,1.042,1.01,1.012,0.994,0.962,0.949,0.947,0.958,0.97,0.981,0.991,,0.947
NZMFishSHELLFISHWG-PAUAPAU5A-1964-2006-JENSEN,PAUAPAU5A,New Zealand Shelf,Haliotis iris,Paua New Zealand Area PAU5A,704.558,Surplus production fit,,,,,,,,,,,,,,,,1.724,1.72,1.709,1.691,1.667,1.637,1.602,1.563,1.52,1.473,1.415,1.351,1.296,1.238,1.153,1.053,0.943,0.813,0.71,0.63,0.589,0.586,0.611,0.65,0.674,0.705,0.723,0.971,1.216,1.381,1.556,1.712,1.74,1.655,1.548,1.507,1.489,1.43,1.323,1.185,1.031,0.874,0.721,,,0.586
