# DR, 2008-02-12, adding as much of this as possible to srdb.stock

 ALEWMICH , Freshwater alewife , Lake Michigan 
 SOCKSHUS , Sockeye salmon ," Shuswap Lake, Fraser River, B.C. "
 SOCKSK2 , Sockeye salmon ," Skeena River, B.C. "
 SOCKSKEE , Sockeye salmon ," Skeena River, B.C. "
 SOCKSMIN , Sockeye salmon ," Smith Inlet, B.C. "
 SOCKSTEL , Sockeye salmon ," Stellako River, B.C. "
 SOCKSTEL2 , Sockeye salmon ," Stellako River, B.C. "
 SOCKSTUA , Sockeye salmon ," Early Stuart Complex, B.C. "
 SOCKSTUA2 , Sockeye salmon ," Early Stuart Complex, B.C. "
 SOCKTAHL1 , Sockeye salmon ," Tahltan Lake, B.C. "
 SOCKTAHL2 , Sockeye salmon ," Tahltan Lake, B.C. "
 SOCKTAHL3 , Sockeye salmon ," Tahltan Lake, B.C. "
 SOCKTALL , Sockeye salmon ," Tally Creek, B.C. "
 SOCKTOG , Sockeye salmon ," Togiak River, Alaska "
 SOCKTOG2 , Sockeye salmon ," Togiak River, Alaska "
 SOCKUG1 , Sockeye salmon ," Ugashik River, Alaska "
 SOCKUG2 , Sockeye salmon ," Ugashik River, Alaska "
 SOCKUG3 , Sockeye salmon ," Ugashik River, Alaska "
 SOCKUG4 , Sockeye salmon ," Ugashik River, Alaska "
 SOCKUPNK , Sockeye salmon ," Upper Pinkut Creek, B.C. "
 SOCKUPST , Sockeye salmon ," Ayakulik, Kodiak Island, Alaska "
 SOCKWEAV , Sockeye salmon ," Weaver Creek, B.C. "
 SOCKWEAV2 , Sockeye salmon ," Weaver Creek, B.C. "
 SOCKWEV , Sockeye salmon ," Weaver Creek, B.C. "
 SOCKWOOD , Sockeye salmon ," Wood River, Alaska "
 SOCKWOOD2 , Sockeye salmon ," Wood River, Alaska "

 SOLECS , Sole , Celtic Sea 
 SOLEIIIa , Sole , ICES IIIa 
 SOLEIS , Sole , Irish Sea 
 SOLEVIII , Sole , Bay of Biscay (VIII) 
 SOLEVIId , Sole , ICES VIId 
 SOLEVIIe , Sole , ICES VIIe 

 SPRAT22-32 , Sprat , Baltic Areas 22-32 
 SPRAT2628 , Sprat , Baltic Areas 26 and 28 
 SPRATBLACK , Sprat , Black Sea 

 SSTURGDANUBE , Starred sturgeon , Danube river 

 STRIPEDBASSCHOPTANK , Striped bass ," Choptank River, Chesapeake Bay "
 STRIPEDBASSHEADCHES , Striped bass , Head of Chesapeake Bay 
 STRIPEDBASSNANICOKE , Striped bass ," Nanticoke River, Chesapeake Bay "
 STRIPEDBASSPOTOMAC , Striped bass ," Potomac River, Chesapeake Bay "
 STRIPEDBASSUSA , Striped bass ," East Coast, USA "
 STRIPEDBASSUSA2 , Striped bass ," East Coast, USA "

 STROKEOADU , Steelhead trout ," Keogh River, B.C. "
 STROKEOFRY , Steelhead trout ," Keogh River, B.C. "
 STROKEOSMO , Steelhead trout ," Keogh River, B.C. "

 SWORDNA , Swordfish , North Atlantic 

 THORNYGA , Shortspine thornyhead , Gulf of Alaska 

 TIGPEXM , Tiger prawn ," Exmouth Gulf, Western Australia "

 TREVALLY , False trevally , Gulf of Thailand 

 TURBOTBLACK , Black Sea turbot , Black Sea 

 VENDACEPY , Vendace ," Lake Pyhajarvi, Finland "

 WALLBALSAM , Walleye , Balsam Lake 
 WALLBUCKHORN , Walleye , Buckhorn Lake 
 WALLCASS , Walleye ," Cass Lake, Minnesota "
 WALLERIE , Walleye ," Lake Erie, New York "
 WALLERIE1 , Walleye ," Lake Erie, Michigan "
 WALLERIE2 , Walleye , Lake Erie 
 WALLERIE3 , Walleye , Erie Lake 
 WALLERIEW , Walleye , Western Lake Erie 
 WALLESCL , Walleye ," Escanaba Lake, Wisconsin "
 WALLEVER , Walleye ," Lake Vermilion East, Minnesota "
 WALLKAB , Walleye ," Lake Kabetogama, Minnesota "
 WALLLEECH , Walleye ," Leech Lake, Minnesota "
 WALLMILL , Walleye ," Mille Lacs Lake, Minnesota "
 WALLNAMA , Walleye , Namakan River 
 WALLNIPI , Walleye , Nipissing Lake 
 WALLPEPIN , Walleye ," Lake Pepin, Minnesota "
 WALLRAIN , Walleye ," Rainy Lake, Minnesota "
 WALLRAIN2 , Walleye ," Rainy Lake, Minnesota "
 WALLRAINY , Walleye , Rainy Lake 
 WALLREDL , Walleye ," Red Lakes, Minnesota "
 WALLRICE , Walleye , Rice Lake 
 WALLSAVAN , Walleye , Savanne Lake 
 WALLSAVL , Walleye ," Savanne Lake, Ontario "
 WALLSCUG , Walleye , Scugog Lake 
 WALLURED , Walleye ," Upper Red Lake, Minnesota "
 WALLWINN , Walleye ," Lake Winnibigoshish, Minnesota "
 WALLWOOD , Walleye ," Lake of the Woods, Minnesota "
 WALLWOODS , Walleye , Woods Lake 
 WALLWVER , Walleye ," Lake Vermilion West, Minnesota "

 WBASSERIEW , White bass , Western Lake Erie 

 WCROAECS , White croaker , East China Sea 

 WEAKFISH , Weakfish ," East Coast, USA "

 WHAKE4T , White hake , NAFO 4T 

 WHFSHLCNS , Whitefish ," Lake Constance, Europe "

 WHITBLACKE , Black Sea whiting , Eastern Black Sea 
 WHITBLACKW , Black Sea whiting , Western Black Sea 

 WHITCS , Whiting , Celtic Sea 
 WHITIS , Whiting , Irish Sea 
 WHITIS2 , Whiting , Irish Sea 
 WHITNS , Whiting , North Sea 
 WHITNS2 , Whiting , North Sea 
 WHITVIId , Whiting , ICES VIId 
 WHITVIa , Whiting , ICES VIa 
 WHITVIa2 , Whiting , ICES VIa 

 WOLFGREEN , Atlantic wolffish , West Greenland 

 WPERERIEW , White perch , Western Lake Erie 

 WPOLLEBS , Walleye pollock , E. Bering Sea 
 WPOLLGA , Walleye pollock ," Gulf of Alaska, Alaska "
 WPOLLJAP , Walleye pollock , Japan-Pacific coast of Hokkaido 
 WPOLLKAM , Walleye pollock , East Kamchatka 
 WPOLLWBS , Walleye pollock , West Bering Sea 

 WROCKVANCON , Widow rockfish , W. U.S. + Canada 

 YCROAECS , Yellow croaker , East China Sea 

 YELL3LNO , Yellowtail flounder , NAFO 3LNO 
 YELL5Z , Yellowtail flounder , NAFO 5Z 
 YELLSNE , Yellowtail flounder , Southern New England 

 YFINEPAC , Yellowfin tuna , Eastern Pacific Ocean 
 YFININDO , Yellowfin tuna , Indian Ocean 

 YPERERIEW , Yellow perch , Western Erie Lake 
 YPERGBAY , Yellow perch ," Green Bay, Lake Michigan "
 YPERKAB , Yellow perch ," Kabegogama Lake, Minnesota "
 YPERLEECH , Yellow perch ," Leech Lake, Minnesota "
 YPERONEI , Yellow perch ," Oneida Lake, New York "
 YPERRAIN , Yellow perch ," Rainy Lake, Minnesota "
 YPERREDL , Yellow perch ," Red Lakes, Minnesota "
 YPERSAVL , Yellow perch ," Savanne Lake, Ontario "
 YPERSBAY , Yellow perch ," South Bay, Lake Huron "
 YPERWLERIE , Yellow perch , Western Lake Erie 

 YROCKCOL , Yellowtail rockfish , Columbia 
 YROCKVAN , Yellowtail rockfish , Vancouver 

 YSBREAMCEC , Yellow sea bream , Central East China Sea 
 YSBREAMCH , Yellow sea bream , East China Sea 
 YSBREAMJC , Yellow sea bream , Japan Coast 
 YSBREAMSE1 , Yellow sea bream , South East China Sea 
 YSBREAMSE2 , Yellow sea bream , South East China Sea 

 YSOLEEBS , Yellowfin sole , E. Bering Sea 
 YSOLEKAM , Yellowfin sole , West Kamchatka Shelf 
